,(days)last_purchase,total_orders,total_spend
0,3,1,1
1,2,1,1
2,1,1,2
3,2,1,2
4,5,1,1
5,1,1,1
6,4,1,1
7,3,1,2
8,2,1,1
9,6,1,4
10,6,1,2
11,1,1,1
12,4,4,2
13,2,1,1
14,1,1,2
15,3,2,1
16,1,1,1
17,3,1,2
18,5,1,1
19,1,1,1
20,5,1,1
21,4,1,1
22,5,1,1
23,2,1,1
24,3,1,1
25,4,1,3
26,4,1,2
27,5,1,1
28,4,2,1
29,4,1,2
30,1,1,1
31,6,1,1
32,2,1,2
33,4,1,1
34,6,1,1
35,3,1,1
36,4,1,1
37,4,1,1
38,5,1,1
39,5,1,1
40,6,1,1
41,5,1,1
42,4,1,1
43,1,1,1
44,5,1,4
45,4,1,1
46,4,1,2
47,2,1,1
48,6,1,2
49,6,1,1
50,3,1,2
51,5,1,1
52,6,1,1
53,3,1,1
54,4,1,3
55,5,1,1
56,5,1,1
57,3,1,3
58,6,1,2
59,4,1,1
60,6,1,1
61,6,1,1
62,6,1,2
63,3,1,1
64,2,2,2
65,3,1,1
66,6,1,1
67,5,1,2
68,3,1,1
69,3,1,1
70,4,1,1
71,6,1,1
72,4,2,3
73,1,1,1
74,3,1,1
75,3,3,2
76,2,1,1
77,5,1,1
78,3,1,1
79,5,1,1
80,4,1,1
81,4,1,1
82,4,1,1
83,3,2,1
84,5,1,1
85,4,1,3
86,3,1,1
87,5,1,1
88,4,1,1
89,2,1,1
90,1,1,1
91,4,1,1
92,4,1,1
93,6,1,2
94,1,1,1
95,1,1,3
96,4,1,1
97,3,5,2
98,1,1,1
99,3,1,1
100,6,2,1
101,6,1,2
102,5,1,1
103,6,1,2
104,1,2,1
105,4,1,1
106,4,1,1
107,2,1,4
108,5,1,2
109,2,1,2
110,6,1,1
111,5,1,1
112,5,1,1
113,4,1,1
114,2,1,1
115,2,1,2
116,6,1,1
117,1,1,2
118,4,1,4
119,2,1,2
120,2,1,1
121,5,1,1
122,1,1,1
123,2,2,1
124,2,1,1
125,2,1,1
126,4,1,1
127,4,1,1
128,6,1,1
129,5,2,2
130,1,2,2
131,1,1,1
132,4,1,2
133,1,1,1
134,4,1,1
135,4,1,1
136,6,1,2
137,5,1,2
138,6,2,2
139,5,1,2
140,6,1,2
141,6,1,1
142,5,2,2
143,4,1,1
144,6,1,3
145,5,1,1
146,5,1,1
147,5,1,2
148,3,1,1
149,5,1,1
150,6,1,1
151,1,1,1
152,3,1,2
153,3,1,1
154,6,1,1
155,2,1,1
156,6,1,1
157,3,1,1
158,1,1,3
159,6,1,2
160,2,1,1
161,1,1,1
162,3,1,1
163,4,1,1
164,2,1,1
165,6,1,1
166,6,1,1
167,4,1,1
168,3,1,3
169,3,1,1
170,4,1,1
171,2,1,1
172,2,1,2
173,6,1,1
174,6,1,1
175,4,1,1
176,1,1,1
177,6,2,1
178,1,1,1
179,3,3,1
180,5,1,1
181,3,1,1
182,5,1,1
183,1,1,1
184,4,1,2
185,4,2,1
186,5,2,2
187,4,1,1
188,4,1,2
189,2,1,3
190,1,1,1
191,3,1,1
192,5,1,1
193,2,1,1
194,3,1,1
195,6,1,1
196,2,1,1
197,1,1,1
198,1,1,1
199,6,1,1
200,3,1,1
201,4,1,2
202,5,1,2
203,2,1,1
204,5,1,1
205,3,1,3
206,2,1,1
207,1,1,2
208,6,1,1
209,3,1,2
210,4,1,3
211,3,1,1
212,1,1,1
213,6,1,2
214,5,1,2
215,3,1,1
216,2,1,2
217,6,1,1
218,6,1,2
219,4,1,2
220,5,1,3
221,6,2,2
222,1,1,1
223,2,1,2
224,6,1,1
225,1,1,1
226,4,1,2
227,5,1,2
228,2,3,3
229,4,1,1
230,5,2,2
231,1,1,1
232,5,1,2
233,2,1,1
234,4,1,1
235,6,1,1
236,3,1,1
237,5,1,1
238,5,1,2
239,2,1,1
240,5,1,2
241,4,1,1
242,1,2,2
243,5,1,1
244,5,1,1
245,2,1,1
246,6,1,1
247,3,1,1
248,6,1,2
249,5,1,1
250,5,1,1
251,3,1,1
252,6,1,2
253,3,1,1
254,6,1,3
255,3,1,1
256,6,2,2
257,6,1,1
258,5,1,3
259,5,1,3
260,2,1,2
261,3,3,3
262,3,2,2
263,2,1,1
264,3,1,2
265,1,1,2
266,6,1,1
267,1,1,1
268,5,1,1
269,2,1,3
270,5,1,2
271,6,1,1
272,3,1,1
273,1,2,1
274,6,1,1
275,4,2,1
276,2,1,1
277,2,1,2
278,4,1,1
279,6,1,1
280,2,1,1
281,4,1,2
282,4,1,1
283,4,1,1
284,3,1,2
285,3,1,2
286,4,1,2
287,4,1,1
288,4,2,3
289,1,1,1
290,3,3,2
291,4,1,1
292,2,1,2
293,2,1,1
294,6,1,1
295,6,1,4
296,5,1,2
297,1,1,1
298,4,1,1
299,5,1,1
300,4,1,1
301,4,1,2
302,5,1,1
303,6,3,2
304,1,1,1
305,4,1,1
306,1,1,1
307,5,1,1
308,2,1,1
309,2,1,2
310,5,1,2
311,4,1,2
312,1,1,2
313,4,1,1
314,6,1,1
315,5,1,1
316,3,1,1
317,3,1,3
318,4,1,1
319,3,1,1
320,4,1,2
321,5,1,3
322,6,1,2
323,1,1,1
324,1,1,1
325,1,2,1
326,1,1,1
327,3,1,1
328,1,1,1
329,5,1,1
